date,group,ridership,on_time_pct,day_type,delay_avg_min,revenue,incidents
2025-01-01,Route A,1224,89.3,Weekday,2.5,3965.76,0
2025-01-02,Route A,1376,91.3,Weekday,1.8,4017.92,0
2025-01-03,Route A,1291,94.7,Weekday,2.1,4066.65,0
2025-01-04,Route A,919,91.0,Weekend,3.8,3041.89,0
2025-01-05,Route A,995,84.2,Weekend,3.6,3442.7,0
2025-01-06,Route A,1338,91.5,Weekday,2.4,4482.3,0
2025-01-07,Route A,1352,83.9,Weekday,0.9,3893.76,0
2025-01-08,Route A,1140,92.7,Weekday,0.4,3830.4,0
2025-01-09,Route A,1234,88.8,Weekday,2.9,3183.72,0
2025-01-10,Route A,1397,92.6,Weekday,2.4,4386.58,0
2025-01-11,Route A,815,92.0,Weekend,1.7,2567.25,0
2025-01-12,Route A,1320,93.1,Weekend,3.4,3511.2,0
2025-01-13,Route A,1506,89.6,Weekday,0.9,5030.04,1
2025-01-14,Route A,1154,90.1,Weekday,2.8,3254.28,0
2025-01-15,Route A,1354,99,Weekday,1.0,4278.64,0
2025-01-16,Route A,702,90.9,Holiday,2.2,2148.12,0
2025-01-17,Route A,1384,82.6,Weekday,3.0,4013.6,0
2025-01-18,Route A,1114,89.9,Weekend,2.8,2907.54,0
2025-01-19,Route A,930,91.1,Weekend,1.0,2380.8,0
2025-01-20,Route A,1470,89.9,Weekday,4.9,3689.7,1
2025-01-21,Route A,1185,87.9,Weekday,1.7,3282.45,0
2025-01-22,Route A,1396,92.7,Weekday,0,4718.48,0
2025-01-23,Route A,1377,87.5,Weekday,3.1,4695.57,1
2025-01-24,Route A,1172,95.4,Weekday,0.6,3820.72,0
2025-01-25,Route A,834,90.9,Weekend,0.8,2085.0,0
2025-01-26,Route A,1311,91.1,Weekend,3.9,3683.91,0
2025-01-27,Route A,1015,97.0,Weekday,0,2628.85,0
2025-01-28,Route A,1526,92.8,Weekday,1.9,4547.48,0
2025-01-29,Route A,1156,89.2,Weekday,5.1,3375.52,0
2025-01-30,Route A,967,88.4,Weekday,3.2,3384.5,0
2025-01-31,Route A,1398,85.5,Weekday,4.2,3662.76,0
2025-02-01,Route A,773,94.5,Weekend,1.5,1986.61,0
2025-02-02,Route A,1025,91.1,Weekend,4.8,3444.0,0
2025-02-03,Route A,1270,95.9,Weekday,1.2,4368.8,0
2025-02-04,Route A,1343,83.1,Weekday,4.6,4445.33,0
2025-02-05,Route A,1406,92.4,Weekday,0.7,4541.38,0
2025-02-06,Route A,1343,91.8,Weekday,2.0,3894.7,0
2025-02-07,Route A,1337,87.7,Weekday,3.6,3904.04,0
2025-02-08,Route A,1082,90.0,Weekend,5.2,3181.08,1
2025-02-09,Route A,844,89.6,Weekend,4.9,2928.68,2
2025-02-10,Route A,1248,91.4,Weekday,1.6,3731.52,0
2025-02-11,Route A,1199,90.8,Weekday,0,3321.23,1
2025-02-12,Route A,1610,85.9,Weekday,3.9,5570.6,3
2025-02-13,Route A,980,87.8,Weekday,3.6,3400.6,0
2025-02-14,Route A,1374,83.5,Weekday,3.6,3517.44,0
2025-02-15,Route A,547,89.8,Weekend,4.2,1411.26,0
2025-02-16,Route A,1282,85.0,Weekend,2.7,3512.68,0
2025-02-17,Route A,1354,88.0,Weekday,1.6,3953.68,0
2025-02-18,Route A,1109,80.7,Weekday,4.4,2994.3,1
2025-02-19,Route A,1262,94.0,Weekday,1.0,3558.84,1
2025-02-20,Route A,1116,93.9,Weekday,2.1,3906.0,3
2025-02-21,Route A,1361,91.2,Weekday,1.9,4600.18,1
2025-02-22,Route A,1229,87.0,Holiday,4.2,3822.19,3
2025-02-23,Route A,657,89.7,Weekend,2.5,2181.24,0
2025-02-24,Route A,1029,81.9,Weekday,4.9,2685.69,0
2025-02-25,Route A,1316,89.2,Weekday,4.3,4237.52,0
2025-02-26,Route A,1156,87.6,Weekday,0.5,3872.6,0
2025-02-27,Route A,1278,87.1,Weekday,3.7,3195.0,1
2025-02-28,Route A,1158,87.6,Weekday,3.0,3392.94,0
2025-03-01,Route A,672,97.3,Weekend,1.8,2284.8,0
2025-03-02,Route A,1020,85.4,Weekend,4.0,2866.2,1
2025-03-03,Route A,1325,92.2,Weekday,0,4505.0,0
2025-03-04,Route A,1250,91.8,Weekday,2.5,3637.5,0
2025-03-05,Route A,882,95.1,Weekday,3.5,2963.52,3
2025-03-06,Route A,1388,82.3,Weekday,6.4,3928.04,2
2025-03-07,Route A,1295,92.5,Weekday,0,4286.45,0
2025-03-08,Route A,920,88.1,Weekend,4.6,2502.4,1
2025-03-09,Route A,643,86.6,Weekend,3.6,2121.9,0
2025-03-10,Route A,1366,90.3,Weekday,1.3,4740.02,0
2025-03-11,Route A,1567,87.4,Weekday,2.2,5453.16,0
2025-03-12,Route A,1332,89.2,Weekday,3.4,4608.72,0
2025-03-13,Route A,1229,93.2,Weekday,2.5,3969.67,0
2025-03-14,Route A,1080,87.0,Weekday,2.1,2970.0,1
2025-03-15,Route A,1055,99,Weekend,0.3,3207.2,1
2025-03-16,Route A,886,84.0,Weekend,3.7,2799.76,0
2025-03-17,Route A,1301,86.9,Weekday,5.4,4189.22,0
2025-03-18,Route A,1182,93.7,Weekday,0.7,3108.66,0
2025-03-19,Route A,1336,95.5,Weekday,0.5,4542.4,0
2025-03-20,Route A,1178,94.7,Weekday,2.3,3451.54,0
2025-03-21,Route A,1250,87.4,Weekday,2.0,3675.0,0
2025-03-22,Route A,518,91.4,Weekend,2.4,1336.44,0
2025-03-23,Route A,794,87.5,Weekend,2.3,2636.08,1
2025-03-24,Route A,1190,87.4,Weekday,3.2,3260.6,0
2025-03-25,Route A,1288,90.8,Weekday,1.9,3748.08,0
2025-03-26,Route A,1345,95.7,Weekday,0.2,4250.2,0
2025-03-27,Route A,1254,90.0,Weekday,0.5,3272.94,0
2025-03-28,Route A,1453,98.9,Weekday,0,3995.75,1
2025-03-29,Route A,893,83.0,Weekend,4.8,2830.81,3
