date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-01-01,Route A,1388,89.6,Weekday,Diesel,113.6,227.41
2025-01-02,Route A,1344,94.5,Weekday,Diesel,111.3,224.40
2025-01-03,Route A,1204,89.2,Weekday,CNG,103.7,213.96
2025-01-04,Route A,968,95.2,Weekend,CNG,90.9,196.24
2025-01-05,Route A,861,94.5,Weekend,Hybrid,85.1,188.33
2025-01-06,Route A,1237,88.5,Weekday,Hybrid,106.0,217.79
2025-01-07,Route A,1360,84.1,Weekday,Diesel,112.9,227.66
2025-01-08,Route A,1262,88.1,Weekday,Diesel,107.6,220.44
2025-01-09,Route A,1251,90.7,Weekday,CNG,107.1,219.94
2025-01-10,Route A,1171,85.5,Weekday,CNG,102.9,214.27
2025-01-11,Route A,966,92.0,Weekend,Hybrid,91.7,198.79
2025-01-12,Route A,898,88.4,Weekend,Diesel,88.1,193.96
2025-01-13,Route A,1239,90.0,Weekday,Diesel,107.0,220.62
2025-01-14,Route A,1284,90.7,Weekday,CNG,109.6,224.46
2025-01-15,Route A,719,91.7,Holiday,CNG,78.7,181.41
2025-01-16,Route A,1283,95.1,Weekday,Hybrid,109.9,225.29
2025-01-17,Route A,1231,86.3,Weekday,Hybrid,107.1,221.58
2025-01-18,Route A,932,88.8,Weekend,Diesel,90.8,198.96
2025-01-19,Route A,911,86.6,Weekend,Diesel,89.8,197.76
2025-01-20,Route A,1199,90.0,Weekday,CNG,105.8,220.37
2025-01-21,Route A,1405,89.9,Weekday,CNG,117.2,236.53
2025-01-22,Route A,1374,88.5,Weekday,Hybrid,115.7,234.64
2025-01-23,Route A,1238,87.2,Weekday,Hybrid,108.3,224.48
2025-01-24,Route A,1211,92.5,Weekday,Diesel,107.0,222.86
2025-01-25,Route A,909,87.0,Weekend,Diesel,90.5,199.97
2025-01-26,Route A,923,91.1,Weekend,CNG,91.4,201.43
2025-01-27,Route A,1246,91.1,Weekday,CNG,109.3,226.70
2025-01-28,Route A,1430,92.0,Weekday,Hybrid,119.6,241.32
2025-01-29,Route A,1338,88.2,Weekday,Hybrid,114.6,234.52
2025-01-30,Route A,1354,92.1,Weekday,Diesel,115.7,236.27
2025-01-31,Route A,1217,88.5,Weekday,Diesel,108.3,226.11
2025-02-01,Route A,827,88.5,Weekend,CNG,86.9,196.36
2025-02-02,Route A,957,96.1,Weekend,CNG,94.2,206.78
2025-02-03,Route A,1289,92.0,Weekday,Hybrid,112.6,232.74
2025-02-04,Route A,1397,87.0,Weekday,Hybrid,118.7,241.49
2025-02-05,Route A,1418,93.6,Weekday,Diesel,120.0,243.51
2025-02-06,Route A,1339,93.6,Weekday,Diesel,115.8,237.84
