date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-01-01,Route D,601,86.9,Weekday,Diesel,71.0,168.89
2025-01-02,Route D,536,94.2,Weekday,CNG,67.6,164.33
2025-01-03,Route D,536,91.4,Weekday,CNG,67.7,164.68
2025-01-04,Route D,356,96.0,Weekend,Hybrid,58.0,151.30
2025-01-05,Route D,349,92.5,Weekend,Hybrid,57.7,151.08
2025-01-06,Route D,557,88.9,Weekday,Diesel,69.3,167.53
2025-01-07,Route D,597,86.7,Weekday,Diesel,71.6,170.95
2025-01-08,Route D,622,93.2,Weekday,CNG,73.2,173.40
2025-01-09,Route D,579,94.7,Weekday,CNG,70.9,170.38
2025-01-10,Route D,576,94.8,Weekday,Hybrid,70.9,170.58
2025-01-11,Route D,312,90.9,Weekend,Hybrid,56.5,150.63
2025-01-12,Route D,348,94.7,Weekend,Diesel,58.6,153.77
2025-01-13,Route D,568,89.5,Weekday,Diesel,70.9,171.20
2025-01-14,Route D,595,89.3,Weekday,CNG,72.5,173.64
2025-01-15,Route D,284,90.4,Holiday,CNG,55.5,150.04
2025-01-16,Route D,553,87.5,Weekday,Hybrid,70.4,171.11
2025-01-17,Route D,513,94.7,Weekday,Hybrid,68.4,168.51
2025-01-18,Route D,336,98.0,Weekend,Diesel,58.8,155.28
2025-01-19,Route D,378,95.0,Weekend,Diesel,61.2,158.84
2025-01-20,Route D,537,93.5,Weekday,CNG,70.1,171.50
2025-01-21,Route D,579,91.8,Weekday,CNG,72.6,175.21
2025-01-22,Route D,667,91.1,Weekday,Hybrid,77.5,182.27
2025-01-23,Route D,608,89.2,Weekday,Hybrid,74.4,178.14
2025-01-24,Route D,540,96.6,Weekday,Diesel,70.8,173.30
2025-01-25,Route D,346,98.0,Weekend,Diesel,60.3,158.80
2025-01-26,Route D,386,92.6,Weekend,CNG,62.6,162.23
2025-01-27,Route D,577,94.1,Weekday,CNG,73.3,177.41
2025-01-28,Route D,613,86.5,Weekday,Hybrid,75.4,180.56
2025-01-29,Route D,588,90.4,Weekday,Hybrid,74.1,178.94
2025-01-30,Route D,580,93.0,Weekday,Diesel,73.8,178.72
2025-01-31,Route D,548,87.1,Weekday,Diesel,72.2,176.69
2025-02-01,Route D,373,95.9,Weekend,CNG,62.7,163.59
2025-02-02,Route D,384,97.3,Weekend,CNG,63.5,164.92
2025-02-03,Route D,585,92.4,Weekday,Hybrid,74.7,180.80
2025-02-04,Route D,599,86.0,Weekday,Hybrid,75.6,182.26
2025-02-05,Route D,620,91.6,Weekday,Diesel,76.9,184.29
2025-02-06,Route D,592,87.1,Weekday,Diesel,75.4,182.39
2025-02-07,Route D,520,94.0,Weekday,CNG,63.6,154.08
2025-02-08,Route D,365,95.9,Weekend,CNG,55.2,142.52
2025-02-09,Route D,373,93.9,Weekend,Hybrid,55.8,143.56
2025-02-10,Route D,591,89.3,Weekday,Hybrid,67.9,160.71
2025-02-11,Route D,606,89.4,Weekday,Diesel,68.9,162.31
2025-02-12,Route D,602,89.8,Weekday,Diesel,68.8,162.38
2025-02-13,Route D,594,89.3,Weekday,CNG,68.5,162.16
2025-02-14,Route D,581,88.0,Weekday,CNG,67.9,161.52
2025-02-15,Route D,363,92.3,Weekend,Hybrid,56.1,145.21
2025-02-16,Route D,410,94.2,Weekend,Hybrid,58.8,149.19
2025-02-17,Route D,596,86.1,Weekday,Diesel,69.2,163.96
2025-02-18,Route D,614,93.2,Weekday,Diesel,70.3,165.70
2025-02-19,Route D,618,93.7,Weekday,CNG,70.6,166.32
2025-02-20,Route D,579,94.7,Weekday,CNG,68.6,163.73
2025-02-21,Route D,610,89.4,Weekday,Hybrid,70.5,166.59
2025-02-22,Route D,359,97.8,Weekend,Diesel,56.8,147.62
2025-02-23,Route D,416,91.8,Weekend,Diesel,60.1,152.44
2025-02-24,Route D,563,89.5,Weekday,CNG,68.3,164.12
2025-02-25,Route D,577,87.6,Weekday,CNG,69.2,165.59
2025-02-26,Route D,594,88.0,Weekday,Hybrid,70.3,167.33
2025-02-27,Route D,594,91.0,Weekday,Hybrid,70.4,167.68
2025-02-28,Route D,594,87.3,Weekday,Diesel,70.6,168.16
2025-03-01,Route D,396,92.6,Weekend,Diesel,59.8,153.24
2025-03-02,Route D,377,95.2,Weekend,CNG,58.9,152.19
2025-03-03,Route D,549,91.3,Weekday,CNG,68.5,165.83
2025-03-04,Route D,618,91.6,Weekday,Hybrid,72.4,171.50
2025-03-05,Route D,630,97.5,Weekday,Hybrid,73.2,172.82
2025-03-06,Route D,582,88.5,Weekday,Diesel,70.7,169.52
2025-03-07,Route D,543,88.4,Weekday,Diesel,68.7,166.93
2025-03-08,Route D,358,96.6,Weekend,CNG,58.7,153.13
2025-03-09,Route D,416,91.3,Weekend,CNG,62.0,157.96
2025-03-10,Route D,559,91.4,Weekday,Hybrid,70.0,169.36
2025-03-11,Route D,603,91.8,Weekday,Hybrid,72.5,173.06
2025-03-12,Route D,631,85.4,Weekday,Diesel,74.2,175.65
2025-03-13,Route D,640,95.3,Weekday,Diesel,74.8,176.69
2025-03-14,Route D,546,88.7,Weekday,CNG,69.8,169.90
2025-03-15,Route D,383,93.8,Weekend,CNG,61.0,157.78
2025-03-16,Route D,399,98.0,Weekend,Hybrid,62.0,159.38
2025-03-17,Route D,579,87.4,Weekday,Hybrid,72.0,173.59
