date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd
2025-01-01,Route F,533,87.76,Weekday,Diesel,67.9,165.39
2025-01-02,Route F,540,87.896,Weekday,CNG,68.4,166.29
2025-01-03,Route F,547,88.032,Weekday,CNG,68.9,167.20
2025-01-04,Route F,554,88.168,Weekend,Hybrid,69.4,168.10
2025-01-05,Route F,560,88.304,Weekend,Hybrid,69.9,169.00
2025-01-06,Route F,567,88.44,Weekday,Diesel,70.4,169.91
2025-01-07,Route F,574,88.576,Weekday,Diesel,70.9,170.81
2025-01-08,Route F,581,88.712,Weekday,CNG,71.5,171.86
2025-01-09,Route F,588,88.848,Weekday,CNG,72.0,172.76
2025-01-10,Route F,594,88.984,Weekday,Hybrid,72.4,173.52
2025-01-11,Route F,601,89.12,Weekend,Hybrid,73.0,174.57
2025-01-12,Route F,608,89.256,Weekend,Diesel,73.5,175.47
2025-01-13,Route F,615,89.392,Weekday,Diesel,74.0,176.38
2025-01-14,Route F,622,89.528,Weekday,CNG,74.5,177.28
2025-01-15,Route F,628,89.664,Holiday,CNG,75.0,178.18
2025-01-16,Route F,635,89.8,Weekday,Hybrid,75.5,179.09
2025-01-17,Route F,642,89.936,Weekday,Hybrid,76.0,179.99
2025-01-18,Route F,649,90.072,Weekend,Diesel,76.6,181.04
2025-01-19,Route F,656,90.208,Weekend,Diesel,77.1,181.94
2025-01-20,Route F,662,90.344,Weekday,CNG,77.5,182.70
2025-01-21,Route F,669,90.48,Weekday,CNG,78.1,183.75
2025-01-22,Route F,676,90.616,Weekday,Hybrid,78.6,184.65
2025-01-23,Route F,683,90.752,Weekday,Hybrid,79.1,185.56
2025-01-24,Route F,690,90.888,Weekday,Diesel,79.6,186.46
2025-01-25,Route F,696,91.024,Weekend,Diesel,80.1,187.36
2025-01-26,Route F,703,91.16,Weekend,CNG,80.6,188.27
2025-01-27,Route F,710,91.296,Weekday,CNG,81.1,189.17
2025-01-28,Route F,717,91.432,Weekday,Hybrid,81.7,190.22
2025-01-29,Route F,724,91.568,Weekday,Hybrid,82.2,191.12
2025-01-30,Route F,730,91.704,Weekday,Diesel,82.6,191.88
2025-01-31,Route F,737,91.84,Weekday,Diesel,83.2,192.93
2025-02-01,Route F,744,91.976,Weekend,CNG,83.7,193.83
2025-02-02,Route F,751,92.112,Weekend,CNG,84.2,194.74
2025-02-03,Route F,758,92.248,Weekday,Hybrid,76.7,172.44
2025-02-04,Route F,764,92.384,Weekday,Hybrid,77.2,173.34
2025-02-05,Route F,771,92.52,Weekday,Diesel,77.7,174.25
2025-02-06,Route F,778,92.656,Weekday,Diesel,78.2,175.15
2025-02-07,Route F,785,92.792,Weekday,CNG,78.8,176.20
2025-02-08,Route F,792,92.928,Weekend,CNG,79.3,177.10
2025-02-09,Route F,798,93.064,Weekend,Hybrid,79.7,177.86
2025-02-10,Route F,805,93.2,Weekday,Hybrid,80.3,178.91
2025-02-11,Route F,812,93.336,Weekday,Diesel,80.8,179.81
2025-02-12,Route F,819,93.472,Weekday,Diesel,81.3,180.72
2025-02-13,Route F,826,93.608,Weekday,CNG,81.8,181.62
2025-02-14,Route F,832,93.744,Weekday,CNG,82.3,182.52
2025-02-15,Route F,839,93.88,Weekend,Hybrid,82.8,183.43
2025-02-16,Route F,846,94.016,Weekend,Diesel,83.3,184.33
2025-02-17,Route F,853,94.152,Weekday,Diesel,83.9,185.38
2025-02-18,Route F,860,94.288,Weekday,CNG,84.4,186.28
2025-02-19,Route F,866,94.424,Weekday,CNG,84.8,187.04
2025-02-20,Route F,873,94.56,Weekday,Hybrid,85.4,188.09
2025-02-21,Route F,880,94.696,Weekday,Hybrid,85.9,188.99
2025-02-22,Route F,887,94.832,Weekend,Diesel,86.4,189.90
2025-02-23,Route F,894,94.968,Weekend,Diesel,86.9,190.80
2025-02-24,Route F,900,87.104,Weekday,CNG,87.4,191.70
2025-02-25,Route F,907,87.24,Weekday,CNG,87.9,192.61
2025-02-26,Route F,914,87.376,Weekday,Hybrid,88.4,193.51
2025-02-27,Route F,521,87.512,Weekday,Hybrid,67.0,163.76
2025-02-28,Route F,528,87.648,Weekday,Diesel,67.5,164.66
2025-03-01,Route F,534,87.784,Weekend,Diesel,67.9,165.42
2025-03-02,Route F,541,87.92,Weekend,CNG,68.5,166.47
2025-03-03,Route F,548,88.056,Weekday,CNG,69.0,167.37
2025-03-04,Route F,555,88.19200000000001,Weekday,Hybrid,69.5,168.28
2025-03-05,Route F,562,88.328,Weekday,Hybrid,70.0,169.18
2025-03-06,Route F,568,88.464,Weekday,Diesel,70.5,170.08
2025-03-07,Route F,575,88.6,Weekday,Diesel,71.0,170.99
2025-03-08,Route F,582,88.736,Weekend,CNG,71.5,171.89
2025-03-09,Route F,589,88.872,Weekend,CNG,72.1,172.94
2025-03-10,Route F,596,89.008,Weekday,Hybrid,72.6,173.84
2025-03-11,Route F,602,89.144,Weekday,Hybrid,73.0,174.60
2025-03-12,Route F,609,89.28,Weekday,Diesel,73.6,175.65
2025-03-13,Route F,616,89.416,Weekday,Diesel,74.1,176.55
2025-03-14,Route F,623,89.552,Weekday,CNG,74.6,177.46
2025-03-15,Route F,630,89.688,Weekend,CNG,75.1,178.36
2025-03-16,Route F,636,89.824,Weekend,Hybrid,75.6,179.26
2025-03-17,Route F,643,89.96,Weekday,Hybrid,76.1,180.17
2025-03-18,Route F,650,90.096,Weekday,Diesel,76.6,181.07
2025-03-19,Route F,657,90.232,Weekday,Diesel,77.2,182.12
2025-03-20,Route F,664,90.368,Weekday,CNG,77.7,183.02
2025-03-21,Route F,670,90.504,Weekday,CNG,78.1,183.78
2025-03-22,Route F,677,90.64,Weekend,Hybrid,78.7,184.83
2025-03-23,Route F,684,90.776,Weekend,Hybrid,79.2,185.73
2025-03-24,Route F,691,90.912,Weekday,Diesel,79.7,186.64
2025-03-25,Route F,698,91.048,Weekday,Diesel,80.2,187.54
2025-03-26,Route F,704,91.184,Weekday,CNG,80.7,188.44
2025-03-27,Route F,711,91.32,Weekday,CNG,81.2,189.35
2025-03-28,Route F,718,91.456,Weekday,Hybrid,81.7,190.25
2025-03-29,Route F,725,91.592,Weekend,Hybrid,82.3,191.30
2025-03-30,Route F,732,91.728,Weekend,Diesel,82.8,192.20
2025-03-31,Route F,738,91.864,Weekday,Diesel,83.2,192.96
2025-04-01,Route F,745,92,Holiday,CNG,83.8,194.01
2025-04-02,Route F,752,92.136,Weekday,CNG,84.3,194.91
2025-04-03,Route F,759,92.272,Weekday,Hybrid,76.8,172.62
2025-04-04,Route F,766,92.408,Weekday,Hybrid,77.3,173.52
2025-04-05,Route F,772,92.544,Weekend,Diesel,77.8,174.42
2025-04-06,Route F,779,92.68,Weekend,CNG,78.3,175.33
2025-04-07,Route F,786,92.816,Weekday,CNG,78.8,176.23
2025-04-08,Route F,793,92.952,Weekday,Hybrid,79.4,177.28
2025-04-09,Route F,800,93.088,Weekday,Hybrid,79.9,178.18
2025-04-10,Route F,806,93.224,Weekday,Diesel,80.3,178.94
2025-04-11,Route F,813,93.36,Weekday,Diesel,80.9,179.99
